,price,num_parking,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,median_house_rent_per_week,median_apartment_rent_per_week,avg_years_held,year_sold,price_year_ratio,day_sold,region_fre,suburb_fre,region_price_diff,type_encoded,property_size_bin,suburb_house_price_bin,suburb_apartment_price_bin,num_bath_bed,house_rent_yield,apartment_rent_yield,property/room_ratio,English,Australian
0,1575000.0,2,House,6184.0,40560,2.496,-34.01586,151.06319,76,0.1,220.1,21.53,610.0,465.0,13.7,2021,519.2878338278932,15,0.06279904306220095,0.0027910685805422647,-87246.03174603172,5,5,3,4,5,0.03020952380952381,0.039,113.8,28.2,26.3
1,1368000.0,2,House,4456.0,44044,3.821,-33.70912,151.07001,168,1.5,174.2,21.62,760.0,502.32034632034635,13.5,2017,644.2021803766105,7,0.033293460925039875,0.003787878787878788,69161.67664670665,5,6,3,5,5,0.0304,0.03576580910589876,149.8,26.6,23.6
2,525000.0,1,Apartment / Unit / Flat,13295.0,32240,12.202,-33.74515,150.68955,26,1.5,174.0,49.99,410.0,380.0,10.6,2017,312.1902874132805,16,0.29984051036682613,0.0057814992025518345,192169.54787234042,1,1,1,2,4,0.03384126984126984,0.04391111111111111,25.0,25.5,24.5
3,1080000.0,4,House,22802.0,33800,8.969,-33.82378,150.93855,62,1.5,171.9,25.53,500.0,430.0,15.7,2018,406.14165428429914,15,0.29984051036682613,0.003787878787878788,2169.547872340423,5,6,2,4,6,0.03170731707317073,0.0349375,120.16666666666667,14.9,18.5
4,840000.0,2,House,15662.0,30368,7.072,-33.95198,150.89671,44,1.5,166.6,30.52,490.0,450.0,11.4,2018,371.4710252600297,18,0.29984051036682613,0.004784688995215311,72169.54787234042,5,6,1,3,6,0.033973333333333335,0.040344827586206895,131.0,10.9,11.8
5,1000000.0,2,Townhouse,11658.0,42380,4.089,-34.03534,151.12423,22,0.1,183.1,20.47,700.0,510.0,12.6,2021,593.4718100890208,24,0.06279904306220095,0.003189792663476874,-237246.03174603172,12,2,3,4,5,0.030333333333333334,0.03843478260869565,38.0,27.6,25.6
6,2680000.0,2,House,13394.0,38584,3.566,-33.8063,151.08417,35,0.1,210.1,13.34,610.0,410.0,14.2,2021,741.839762611276,21,0.04924242424242424,0.004984051036682616,400728.74493927136,5,5,3,4,11,0.021146666666666668,0.03384126984126984,55.72727272727273,12.9,12.4
7,1178600.0,2,House,8952.0,44096,2.591,-33.95266,150.93951,15,0.1,210.1,26.82,525.0,485.0,12.6,2021,395.64787339268054,7,0.29984051036682613,0.0023923444976076554,22169.547872340423,5,5,1,5,7,0.034125,0.0345325797440395,93.71428571428571,19.5,23.0
8,479000.0,1,Apartment / Unit / Flat,7247.0,30680,1.964,-33.80402,150.95535,52,1.5,171.9,24.52,475.0,415.0,14.3,2018,433.382862803368,2,0.29984051036682613,0.0023923444976076554,-52830.45212765958,1,2,2,2,3,0.02822857142857143,0.044958333333333336,35.333333333333336,10.5,12.4
9,1085000.0,4,House,5944.0,39104,2.659,-34.02019,150.81645,67,0.1,220.1,40.23,435.0,502.32034632034635,12.7,2021,296.7359050445104,27,0.06279904306220095,0.0013955342902711324,362753.9682539683,5,7,1,5,5,0.0377,0.03576580910589876,258.0,23.8,23.5
10,2525000.0,2,House,10117.0,42172,1.928,-33.91857,151.20485,18,0.11,172.6,5.94,825.0,665.0,14.1,2020,816.4275111331024,17,0.012161084529505583,0.0029904306220095694,-157377.04918032791,5,5,4,6,6,0.026,0.0402093023255814,90.66666666666667,12.8,11.7
11,860000.0,1,House,7247.0,36764,22.465,-33.66886,150.85969,28,0.75,169.6,39.07,510.0,370.0,10.1,2020,358.7333003463632,22,0.06120414673046252,0.003987240829346092,522312.7035830619,5,6,1,4,4,0.03657931034482759,0.029374045801526718,229.5,24.8,28.4
12,6380000.0,0,House,1593.0,54704,2.716,-33.59895,151.32589,0,0.1,220.1,31.42,1080.0,750.0,12.8,2021,1681.5034619188923,17,0.07236842105263158,0.0017942583732057417,-1411707.9889807163,5,6,5,5,0,0.01651764705882353,0.053400896511401286,,34.2,21.2
13,825000.0,2,House,5730.0,34060,2.082,-34.02451,150.83058,47,1.5,174.0,39.27,420.0,502.32034632034635,15.4,2017,304.7571853320119,28,0.06279904306220095,0.0005980861244019139,347753.9682539683,5,5,1,5,7,0.035512195121951216,0.03576580910589876,91.42857142857143,19.7,22.1
14,1063000.0,2,House,37366.0,22568,8.564,-33.85787,151.02827,33,0.1,220.1,16.83,500.0,440.0,13.9,2021,408.0118694362018,12,0.29984051036682613,0.004585326953748007,-2830.452127659577,5,4,2,3,7,0.03151515151515152,0.03979130434782609,70.0,,
15,2600000.0,9,Block of Units,24373.0,22672,7.405,-33.8989,151.05729,37,0.1,210.1,14.61,580.0,445.0,13.3,2021,450.0494559841741,23,0.29984051036682613,0.0057814992025518345,-87830.45212765958,2,6,2,3,24,0.03314285714285714,0.03922033898305085,35.0,7.1,10.4
16,880000.0,2,House,4765.0,50336,13.744,-33.99074,150.74247,81,0.75,166.4,45.41,510.0,350.0,1.7,2019,351.48514851485146,21,0.06279904306220095,0.007575757575757576,252753.96825396828,5,5,1,4,6,0.037352112676056336,0.02935483870967742,102.16666666666667,17.5,23.3
17,2650000.0,2,Townhouse,10488.0,70512,1.28,-33.83489,151.21821,72,0.1,197.9,3.44,1000.0,590.0,12.7,2021,1261.127596439169,13,0.03728070175438596,0.0021929824561403508,-48395.72192513384,12,3,5,7,6,0.0203921568627451,0.032638297872340426,34.333333333333336,25.2,15.5
18,805000.0,1,House,4477.0,48360,2.457,-33.98343,151.24666,34,1.5,172.7,13.55,1050.0,650.0,11.6,2017,867.195242814668,20,0.10127591706539076,0.001594896331738437,-413090.5511811024,5,1,4,7,2,0.0312,0.03557894736842105,41.0,20.2,17.7
19,1600000.0,3,House,1340.0,53404,1.036,-33.79242,151.21235,59,1.5,174.2,8.07,1050.0,502.32034632034635,12.794000827472074,2017,941.5262636273538,29,0.03728070175438596,0.0023923444976076554,601604.2780748662,5,6,4,5,5,0.028736842105263158,0.03576580910589876,166.8,24.8,22.8
20,1780000.0,2,House,4740.0,32188,1.347,-33.80329,151.04263,30,0.1,220.1,16.94,575.0,470.0,8.1,2021,544.0158259149357,21,0.04924242424242424,0.0013955342902711324,800728.7449392714,5,5,3,4,5,0.027181818181818182,0.03703030303030303,132.0,15.3,14.6
21,1150000.0,2,House,6436.0,40612,8.394,-33.80912,150.79558,62,1.5,160.5,38.85,430.0,502.32034632034635,13.7,2018,356.6121842496285,26,0.29984051036682613,0.0029904306220095694,102169.54787234042,5,5,1,5,9,0.031055555555555555,0.03576580910589876,76.66666666666667,21.9,25.0
22,1300000.0,2,Townhouse,23688.0,37024,6.838,-33.77377,151.07681,101,0.1,220.1,15.95,700.0,550.0,14.7,2021,816.0237388724036,23,0.033293460925039875,0.005382775119617225,-280838.32335329335,12,4,4,5,5,0.022060606060606062,0.03620253164556962,62.2,13.5,11.9
23,1925000.0,2,House,24394.0,33696,8.528,-33.77523,151.0454,102,0.1,220.1,18.2,610.0,500.0,16.6,2021,642.9277942631059,18,0.29984051036682613,0.005582137161084529,-477830.4521276596,5,6,3,4,6,0.0244,0.037142857142857144,154.83333333333334,13.2,12.2
24,1065000.0,1,Semi-Detached,12419.0,34216,4.751,-33.95493,150.99524,18,0.1,220.1,22.21,630.0,450.0,12.0,2021,469.8318496538081,29,0.29984051036682613,0.0043859649122807015,-127830.45212765958,9,3,2,5,5,0.03448421052631579,0.0312,54.8,18.6,21.6
25,1500000.0,4,House,3376.0,40924,3.502,-33.68827,151.11987,153,0.1,210.1,21.32,590.0,510.0,15.5,2021,544.0158259149357,18,0.033293460925039875,0.001993620414673046,269161.67664670665,5,6,3,4,10,0.02789090909090909,0.042432,83.7,25.1,21.9
26,1800000.0,3,House,6642.0,33540,3.8,-33.81378,151.03784,13,0.1,220.1,16.91,510.0,465.0,10.8,2021,544.0158259149357,20,0.29984051036682613,0.001993620414673046,-277830.4521276596,5,4,3,4,6,0.02410909090909091,0.03582222222222222,83.33333333333333,15.8,16.3
27,1650000.0,2,Apartment / Unit / Flat,4798.0,70304,0.762,-33.82557,151.20362,97,0.1,197.9,4.43,975.0,560.0,12.5,2021,989.1196834817013,4,0.03728070175438596,0.0023923444976076554,501604.27807486616,1,2,4,7,5,0.02535,0.03182513661202186,33.4,23.0,17.5
28,1290000.0,2,House,1891.0,31824,4.134,-33.61162,150.82113,9,0.1,197.9,45.7,420.0,330.0,8.4,2021,316.5182987141444,31,0.033293460925039875,0.001993620414673046,729161.6766467066,5,7,1,2,5,0.034125,0.04237037037037037,242.8,30.9,28.9
29,1745000.0,1,House,1145.0,38844,0.27,-33.91673,151.16817,8,0.1,210.1,6.9,740.0,470.0,14.8,2021,642.9277942631059,14,0.1210127591706539,0.000996810207336523,346985.17298187804,5,3,3,4,6,0.0296,0.036477611940298506,46.333333333333336,12.5,12.5
30,1476000.0,1,House,7009.0,40404,6.675,-33.7702,151.24964,92,1.5,174.0,11.16,850.0,595.0,13.0,2017,792.8642220019822,28,0.07236842105263158,0.0027910685805422647,388292.0110192837,5,5,4,5,4,0.027625,0.04236471123237835,128.5,29.8,24.7
31,3560000.0,2,House,10082.0,51896,3.923,-33.78256,151.18105,89,1.5,160.5,9.54,1100.0,605.0,15.3,2018,1238.2367508667658,23,0.04924242424242424,0.0043859649122807015,-599271.2550607286,5,6,5,7,8,0.02288,0.03401081081081081,100.0,23.2,19.6
32,945000.0,2,House,11215.0,40924,4.286,-33.78379,150.99349,49,1.5,160.5,21.97,505.0,435.0,12.8,2018,480.4358593363051,26,0.29984051036682613,0.003987240829346092,-147830.45212765958,5,5,2,3,4,0.027072164948453607,0.03833898305084746,154.5,20.0,19.0
33,1880000.0,1,Townhouse,7006.0,72020,1.553,-33.82277,151.21527,66,0.1,220.1,4.73,1100.0,610.0,14.0,2021,1088.0316518298714,13,0.03728070175438596,0.001594896331738437,301604.27807486616,12,2,5,7,5,0.026,0.033389473684210524,29.4,26.4,20.0
34,627500.0,2,House,15313.0,36244,9.215,-33.94155,150.87334,28,1.52,159.3,32.26,550.0,450.0,10.9,2016,364.4025780862667,20,0.29984051036682613,0.003189792663476874,87169.54787234042,5,4,1,5,5,0.03891156462585034,0.03204053790684077,66.8,9.4,12.0
35,1930000.0,2,House,5001.0,47684,1.02,-33.85841,151.14202,20,2.0,155.2,6.33,880.0,530.0,15.7,2016,917.203767972236,19,0.1210127591706539,0.0011961722488038277,-203014.82701812196,5,4,4,6,5,0.024735135135135134,0.03402469135802469,73.8,17.8,19.0
36,1690000.0,1,Apartment / Unit / Flat,2414.0,53612,1.276,-33.76971,151.28907,19,0.1,220.1,12.88,980.0,720.0,13.2,2021,1137.4876360039564,15,0.07236842105263158,0.0021929824561403508,-311707.9889807163,1,1,5,8,3,0.022156521739130436,0.0288,27.0,28.8,24.9
